title,location,gps,description,date,webURI,copyright,imageSource,imageURI
A Silent Sentry,"Delaney's camp, near Brown's Flat (now McCauley's) - North Fork of Merced",,"Through visits and encounters with Native American's Muir provides us with information of Native Americans.On June 16, 1869 Muir decribes how the Native American's manage to live without disturbing nature and going unnoticed.""One of the Indians from Brown's flat got right into the middle of the camp this morning, unobserved. I was seated on a stone, looking over my notes and sketches, and happening to look up, was startled to see him standing grim and silent within a few steps of me, as motionless and weather-stained as an old tree stump that had stood their for centuries.All Indians seem to have learned this wonderful way of walking unseen,--making themselves invisible like certain spiders I have been observing here, which, in case of alarm, caused, for example, by a bird alighting on the bush their webs are spread upon, immediately bounce themselves up and down on their elastic threads so rapidly that only a blur is visible. The wild Indian power of escaping observation, even where there is little or no cover to hide in, was probably slowly acquired in hard hinting and fighting lessons while trying to approach game, take enemies by surprise, or get safely away when compelled to retreat. And this experience transmitted through many generations seems at length to have become what is vaguely called instinct""""Along the main ridges and larger branches of the river Indian trails may be traced, but they are not nearly as distinct as one would expect to find them. How many centuries Indians have roamed these woods nobody knows, probably a great many, extending far beyond the time that Columbus touched our shores, and it seems strange that heavier marks have not been made. Indians walk softly and hurt the landscape hardly more than the birds and squirrels, and their brush and bark huts last hardly longer than those of wood rats, while their more enduring monuments, excepting those wrought on the forests by the fires they made to improve their hunting grounds, vanish in a few centuries.""","June 16, 1868",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_2.aspx,[Public Domain],https://commons.wikimedia.org/wiki/File%3ALucy_telles_Paiute_in_Yosemite.jpg,\MyFirstSummerRoute\Lucy_Telles_Paiute_in_Yosemite.jpg
Another Visitor,"Delaney's camp, near Brown's Flat (now McCauley's) - North Fork of Merced",,"On June 18, 1869 Muir decribes the wondering Native American women that came to visit the camp:""We had another visitor from Brown's Flat to-day, an old Indian woman with a basket on her back. Like our first caller from the village, she got fairly into camp and was standing in plain view when discovered. How long she had been quietly looking on I cannot say. Even the dogs failed to notice her stealthy approach. She was on her way, I suppose, to some wild garden, probably for lupine and starchy saxifrage leaves and rootstocks. Her dress was calico rags, far from clean, In every way she seemed sadly unlike Nature's neat well-dressed animals, though living like them on the bounty of the wilderness. Strange that mankind alone is dirty. Had she been clad in fur, or cloth woven of grass or shreddy bark, like the junpier and libocedrus mats, she might then have seemed a rightful part of the widlerness; like a good wolf at least, or bear. But from no point of view that I have found are such debased fellow beings a whit more natural than the glaring tailored tourists we saw that frightened the birds and squirrels.""","June 18, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_2.aspx,[Public Domain],"https://commons.wikimedia.org/wiki/File:Paiute_Indian_woman_making_basket_in_the_Yosemite_Valley,_ca.1900-1902_(CHS-1162).jpg","\MyFirstSummerRoute\512px-Paiute_Indian_woman_making_basket_in_the_Yosemite_Valley,_ca.1900-1902_(CHS-1162).jpg"
The Squirrel,"Delaney's camp, near Brown's Flat (now McCauley's) - North Fork of Merced",,"The Douglas squirrel is described and we learn that the Native Americans ate them.July 1th, 1869:  ""The little Douglas is fiery, peppery, full of brag and fight and show, with movements so quick and keen they almost sting the on-looker, and the harlequin gyrating show he makes of himself turns one giddy to see. The gray is shy, and oftentimes stealthy in his movements, as if half expecting an enemy in every tree and bush, and back of every log, wishing only to be let alone apparently, and manifesting no desire to be seen or admired or feared. The Indians hunt this species for food, a good cause for caution, not to mention other enemies, —hawks, snakes, wild cats."" ","July 1, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_2.aspx,[CC-BY-SA 3.0],https://commons.wikimedia.org/wiki/File:Tamiasciurus_douglasii_4435.JPG,\MyFirstSummerRoute\800px-DouglasSquirrel_Tamiasciurus_douglasii.JPG
The Importance of Bread,"Hazel Green Camp, near Tamarack Flat, Yosemite",,"During the trip Muir's group runs out of bread. The men yearn to eat bread, during this bread shortage Muir expresses his desires to know how to make starch much like the Native American's.July 4th, 1869""The shepherd is somewhat demoralized, and seems to care but little what becomes of his flock. He says that since the boss has failed to feed him he is not rightly bound to feed the sheep, and swears that no decent white man can climb these steep mountains on mutton alone. ""It's not fittin' grub for a white man really white. For dogs and coyotes and Indians it's different. Good grub, good sheep. That's what I say."" Such was Billy's Fourth of July oration""July 6th, 1869""The trappers and fur traders of early days in the Rocky Mountain regions lived on bison and beaver meat for months. Salmon-eaters, too, there are among both Indians and whites who seem to suffer little or not at all from the want of bread. Just at this moment mutton seems the least desirable of food, though of good quality. We pick out the leanest bits, and down they go against heavy disgust, causing nausea and an effort to reject the offensive stuff. Tea makes matters worse, if possible. The stomach begins to assert itself as an independent creature with a will of its own. We should boil lupine leaves, clover, starchy petioles, and saxifrage rootstocks like the Indians.""July 7th, 1869""We dream of bread, a sure sign we need it. Like the Indians, we ought to know how to get the starch out of fern and saxifrage stalks, lily bulbs, pine bark,etc. Our education has been sadly neglected for many generations. Wild rice would be good. I noticed a leersia in wet meadow edges, but the seeds are small. Acorns are not ripe, nor pine nuts, nor filberts. The inner bark of pine or spruce might be tried. Drank tea until half intoxicated. Man seems to crave a stimulant when anything extraordinary is going on, and this is the only one I use. Billy chews great quantities of tobacco, which I suppose helps to stupefy and moderate his misery. We look and listen for the Don every hour. How beautiful upon the mountains his big feet would be!""July 8th, 1869""Indians and bears and birds and fat grubs feast on the berries, which look like small apples, often rosy on one side, green on the other. The Indians are said to make a kind of beer or cider out of them.""","July 4, 6, 7, 8, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_3.aspx,[Public Domain],https://commons.wikimedia.org/wiki/File:Various_grains.jpg,\MyFirstSummerRoute\800px-Bread_Various_grains.jpg
Hazel Green Camp,"Hazel Green Camp, near Tamarack Flat, Yosemite",,"July 8, 1869""Toward sundown we reached Hazel Green, a charming spot on the summit of the dividing ridge between the basins of theMerced and Tuolumne, where there is a small brook flowing through hazel and dogwood thickets beneath magnificent silver firs and pines. Here we are camped for the night, our big fire, heaped high with rosiny logs and branches, is blazing like a sunrise, gladly giving back the light slowly sifted from the sunbeams of centuries of summers; and in the glow of that old sunlight how impressively surrounding objects are brought forward in relief against the outer darkness! Grasses, larkspurs, columbines, lilies, hazel bushes, and the great trees form a circle around the fire like thoughtful spectators, gazing and listening with human-like enthusiasm.""","July 8, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_4.aspx,[Public Domain],https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_4.aspx,\MyFirstSummerRoute\JohnMuir_DivideMerced-Tuolomne_HazelGreen_MFS_Ch2_115.jpg
 Journey to Tamarack Meadow,"near Tamarack Flat, Yosemite",,"As John Muir travels he continues to describe Native Americans. A strategic home in Tamarack is described, owned by a White man and a Native American women, their relationship to one another is not clear. The home on Tamarack is forseen to be an important area where travelers will stay, which is now a campground where tourist camp. July 8th, 1869:""A man on each flank kept shouting advice to the leaders, who in their famishing condition were behaving like Gadarene swine; two other drivers were busy with stragglers, helping them out of brush-tangles; the Indian, calm, alert, silently watched for wanderers likely to be over-looked; the two dogs ran here and there, at a loss to know what was best to be done, while the Don, soon far in the rear, was trying to keep in sight of his trouble-some wealth.""July 9th, 1869:""The Indian lay down away from the fire last night, without blankets, having nothing on, by way of clothing, but a pair of blue overalls and a calico shirt wet withsweat. The night air is chilly at this elevation, and we gave him some horse-blankets, but he did n't seem to care for them. A fine thingto be independent of clothing where it is so hard to carry. When food is scarce, he can live on whatever comes in his way, —a few berries, roots, bird eggs, grasshoppers, black ants, fat wasp or bumblebee larv, without feeling that he is doing anything worth mention, so I have been told.""July 11th, 1869:""A log house serves to mark a claim to the Tamarack meadow, which may become valuable as a station in case travel to Yosemite should greatly increase. Belated parties occasionally stop here. A white man with an Indian woman is holding possession of the place.""","July 8-9-11, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_4.aspx,[Public Domain],"https://commons.wikimedia.org/wiki/File:Old_Big_Oak_Flat_Road_leaving_Hodgdon_Meadows._Looking_east-southeast_-_Big_Oak_Flat_Road,_Between_Big_Oak_Flat_Entrance_and_Merced_River,_Yosemite_Village,_Mariposa_County,_CA_HAER_CAL,22-YOSEM,29-18.tif","\MyFirstSummerRoute\Big_Oak_Flat_Road_Entrance_and_Merced_River_CA_HAER_CAL,22-YOSEM,29-18.jpg"
Cascade Creek,"near Cascade Creek, Mono Trail",,"""We moved slowly eastward along the Mono Trail, and early in the afternoon unpacked and camped on the bank of Cascade Creek. The Mono Trail crosses the range by the Bloody Cañon Pass to gold mines near the north end of Mono Lake. These mines were reported to be rich when first discovered, and a grand rush took place, making a trail necessary. A few small bridges were built over streams where fording was not practicable on account of the softness of the bottom, sections of fallen trees cut out, and lanes made through thickets wide enough to allow the passage of bulky packs; but over the greater part of the way scarce a stone or shovelful of earth has been moved.""","July 12, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_4.aspx,[CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0)],https://commons.wikimedia.org/wiki/File:Yosemite_Creek._View_upstream_from_the_footbridge_across_the_creek_just_before_Yosemite_Falls._-_panoramio.jpg,\MyFirstSummerRoute\Yosemite_Creek_from_the_footbridge_across_the_creek_just_before_Yosemite_Falls.jpg
Yosemite Valley View,Yosemite Valley Viewpoint,,"Not just a great valley, but a shrine to human foresight, the strength of granite, the power of glaciers, the persistence of life, and the tranquility of the High Sierra.First protected in 1864, Yosemite National Park is best known for its waterfalls, but within its nearly 1,200 square miles, you can find deep valleys, grand meadows, ancient giant sequoias, a vast wilderness area, and much more.",NA,https://www.nps.gov/yose/index.htm,Public Domain - https://www.loc.gov/item/2011634720/,https://www.loc.gov/item/2011634720/,\MyFirstSummerRoute\YosemiteValleyView_LibraryCongress.jpg
**continues,Yosemite Valley Viewpoint,,"""Climb the mountains and get their good tidings. Nature's peace will flow into you as sunshine into trees.""",NA,"Muir, John. 1901. Our National Parks. Cambridge, MA: The Riverside Press.  - https://vault.sierraclub.org/john_muir_exhibit/writings/our_national_parks/.",N/A ,N/A ,N/A 
**continues,Yosemite Valley Viewpoint,,"Muir, who came to California seeking the solitude of nature, decided to stay—dabbling as a glaciologist, a wilderness activist, and a writer who published persuasive ecological articles with a quill made from a golden eagle feather found on Yosemite's Mount Hoffmann.",NA,https://www.nps.gov/yose/learn/historyculture/muir.htm,N/A ,N/A ,N/A 
Yosemite Creek,Yosemite Creek Basin,,"""Our course all day has been eastward over the rim of Yosemite Creek basin and down about halfway to the bottom, where wehave encamped on a sheet of glacier-polished granite, a firm foundation for beds.""","July 13, 1869 ",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_4.aspx,[CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0)],https://en.wikipedia.org/wiki/File:Yosemite-creek-bw.jpg,\MyFirstSummerRoute\422px-YosemiteCreek-bw.jpg
Yosemite Falls,Yosemite Falls,,"July 14, 1869""In an hour or two we came to Yosemite Creek, the stream that makes the greatest of all the Yosemite falls. It is about forty feet wide at the Mono Trail crossing, and now about four feet in average depth, flowing about three miles an hour. The distance to the vergeof the Yosemite wall, where it makes its tremendous plunge, is only about two miles from here. Calm, beautiful, and nearly silent,it glides with stately gestures, a dense growth of the slender two-leaved pine along its banks, and a fringe of willow, purple spirea,sedges, daisies, lilies, and columbines.""","July 14, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_4.aspx,[CC BY-SA 3.0 https://creativecommons.org/licenses/by-sa/3.0],"https://commons.wikimedia.org/wiki/File:Yosemite_Falls_from_trail,_Yosemite_NP,_CA,_US_-_Diliff.jpg",\MyFirstSummerRoute\800px-Yosemite_Falls_from_trail_Yosemite.jpg
Camp West of Cathedral Peak,"camp, near Olmsted Point ",,"July 24, 1869""Yonder, to the eastward of our camp grove, stands one of Nature's cathedrals, hewn from the living rock, almost conventional in form, about two thousand feet high, nobly adorned with spired and pinnacles, thrilling under floods of sunshine as if alive like a grove temple, and well named 'Cathedral Peak'.""","July 24, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_5.aspx,[CC BY 2.0 (https://creativecommons.org/licenses/by/2.0)],"https://commons.wikimedia.org/wiki/File:Cathedral_Peak,_Yosemite_National_Park.jpg",\MyFirstSummerRoute\Cathedral_Peak_Yosemite_National_Park.jpg
Overlooking Nature,"camp, near Olmsted Point ",,"The interactions with Billy illustrates how man will overlook nature and what it can offer. Billy is more concern over materalistic commodities and can not appreciate the journey in the same way Muir does who is enthrilled by the scenary. July 24th, 1869:""Even Shepherd Billy turns at times to this wonderful mountain building, though apparently deaf to all stone sermons. Snow that refused to melt in fire would hardly be more wonderful than unchanging dullness in the rays of God's beauty. I have been trying to get him to walk to the brink of Yosemite for a view, offering to watch the sheep for a day, while he should enjoy what tourists come from all over the world to see. But though within a mile of the famous valley, he will not go to it even out of mere curiosity. ""What,"" says he, ""is Yosemite but a cañon—a lot of rocks—a hole in the ground—a place dangerous about falling into—a d—d good place to keep away from."" ""But think of the waterfalls, Billy—just think of that big stream we crossed the other day, falling half a mile through the air—think of that, and the sound it makes. You can hear it now like the roar of the sea."" Thus I pressed Yosemite upon him like a missionary offering the gospel, but he would have none of it. ""I should be afraid to look over so high a wall,"" he said. ""It would make my head swim. There is nothing worth seeing anyway, only rocks, and I see plenty of them here. Tourists that spend their money to see rocks and falls are fools, that's all. You can't humbug me. I've been in this country too long for that."" Such souls, I suppose, are asleep, or smothered and befogged beneath mean pleasures and cares.""","July 24, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_5.aspx,[Public Domain],https://commons.wikimedia.org/wiki/File:Muir_and_Roosevelt_restored.jpg,\MyFirstSummerRoute\500px-Muir_and_Roosevelt_restored.jpg
Mount Hoffman,Mount Hoffman,,"""Ramble to the summit of Mount Hoffman, eleven thousand feet high, the highest point in life's journey my feet have yet touched.""","July 26th, 1869",https://vault.sierraclub.org/john_muir_exhibit/writings/my_first_summer_in_the_sierra/chapter_6.aspx, [CC BY 2.0 (https://creativecommons.org/licenses/by/2.0)],https://commons.wikimedia.org/wiki/File:Mount_Hoffmann_reflection_May_Lake.jpg,\MyFirstSummerRoute\512px_Mount_Hoffmann_reflection_May_Lake.jpg
