title,location,gps,description,date,webURI,copyright,imageSource,imageURI
Dwarf Oak (Quercus Vaccinifolia),,,"""Shaggy beds of dwarf oak (Quercus chrysolepis, var. vaccinifolia) over which one may walk are common on rocky moraines, yet this is the same species as the large live oak seen near Brown’s Flat. The most beautiful of the shrubs is the purple-flowered bryanthus, here making glorious carpets at an elevation of nine thousand feet.""","July 27, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 35",by Stan Shebs - CC BY-SA 3.0 Unported,https://commons.wikimedia.org/wiki/File:Quercus_vaccinifolia_1.jpg,\Nature\512px-Quercus_vaccinifolia_1.jpg
California Mountain Pine (Pinus Monticola),,,"""The two pines also are brave stormenduring trees, the mountain pine (Pinus monticola) and the dwarf pine (Pinus albicaulis). The mountain pine is closely related to the sugar pine, though the cones are only about four to six inches long. The largest trees are from five to six feet in diameter at four feet above the ground, the bark rich brown. Only a few storm-beaten adventurers approach the summit of the mountain. The dwarf or white-bark pine is the species that forms the timber-line, where it is so completely dwarfed that one may walk over the top of a bed of it as over snow-pressed chaparral.""","July 26, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 34",by Chris Schnepf - CC BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Pinus_monticola_Idaho3.jpg/330px-Pinus_monticola_Idaho3.jpg,\Nature\480px-Pinus_monticola_Idaho3.jpg
Sierra Hemlock (Tsuga Mertensiana),,,""" The hemlock (Tsuga Mertensiana) is the most beautiful conifer I have ever seen; the branches and also the main axis droop in a singularly graceful way, and the dense foliage covers the delicate, sensitive, swaying branchlets all around. It is now in full bloom, and the flowers, together with thousands of last season’s cones still clinging to the drooping sprays, display wonderful wealth of color, brown and purple and blue.""","July 26, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 33",by Walter Siegmund  - CC BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Tsuga_mertensiana_0261.JPG/360px-Tsuga_mertensiana_0261.JPG,\Nature\480px-Tsuga_mertensiana_0261.JPG
 Sierra Tiger Lily (Lilium parvum),,,""" But the glory of these forest meadows is a lily (L. parvum). The tallest are from seven to eight feet high with magnificent racemes of ten to twenty or more small orange-colored flowers; they stand out free in open ground, with just enough grass and other companion plants about them to fringe their feet, and show them off to best advantage. This is a grand addition to my lily acquaintances""","July 9, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 22",by John Loganecker - Public Domain,https://en.wikipedia.org/wiki/Lilium_parvum#/media/File:Lilium_parvum_1.jpg,\Nature\Lilium_parvum_1.jpg
California corn lily (Veratrum Californicum),,,"""Some are taken up chiefly with the tall white-flowered Veratrum Californicum, with boat-shaped leaves about a foot long, eight or ten inches wide, and veined like those of cypripedium, —a robust, hearty, liliaceous plant, fond of water and determined to be seen""","July 9, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 22",by   JerryFriedman - CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Veratrum_californicum_habitus1.jpg,\Nature\512px-Cali_CornLily_Veratrum_californicum.jpg
Douglas Fir (Pseudotsuga Douglasii),,,""" Furthermore, the Douglas spruce (Pseudotsuga Douglasii) and Libocedrus decurrens, and a few two-leaved pines, occur here and there, forming a small part of the forest. Three pines, two silver firs, one Douglas spruce, one sequoia, —all of them, except the two-leaved pine, colossal trees, —are found here together, an assemblage of conifers unrivaled on the globe""","July 9, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 22",by Tom Appel - CC BY-SA 3.0,https://commons.wikimedia.org/w/index.php?search=a+group+of+douglas+fir&title=Special%3ASearch&go=Go&ns0=1&ns6=1&ns12=1&ns14=1&ns100=1&ns106=1#/media/File:A_group_of_Douglas_Firs.jpg,\Nature\512px-A_group_of_Douglas_Firs.jpg
Giant Sequoia (Sequoia gigantea),,,""" About a mile from the north end of the flat there is a grove of Sequoia gigantea, the king of all the conifers""","July 9, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 22",by   Mike Murphy - CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Grizzly_Giant_Mariposa_Grove.jpg,\Nature\512px-GiantSequoia_Grizzly_Mariposa_Grove.jpg
Manzanita (Arctostaphylos),,,"""We have now reached a height of six thousand feet. In the forenoon we passed along a flat part of the dividing ridge that is planted with manzanita (Arctostaphylos), some specimens the largest I have seen. I measured one, the bole of which is four feet in diameter and only eighteen inches high from the ground, where it dissolves into many wide-spreading branches forming a broad round head about ten or twelve feet high, covered with clusters of small narrow-throated pink bells. The leaves are pale green, glandular, and set on edge by a twist of the petiole. The branches seem naked; for the chocolate-colored bark is very smooth and thin, and is shed off in flakes that curl when dry. The wood is red, close-grained, hard, and heavy. I wonder how old these curious tree-bushes are, probably as old as the great pines. Indians and bears and birds and fat grubs feast on the berries, which look like small apples, often rosy on one side, green on the other. The Indians are said to make a kind of beer or cider out of them. There are many species. This one, Arctostaphylos pungens, is common hereabouts. No need have they to fear the wind, so low they are and steadfastly rooted. Even the fires that sweep the woods seldom destroy them utterly, for they rise again from the root, and some of the dry ridges they grow on are seldom touched by fire.""","July 8, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 21",by Burkhard Mücke - CC BY-SA 3.0,https://commons.wikimedia.org/wiki/Arctostaphylos_manzanita#/media/File:Arctostaphylos_manzanita.jpg,\Nature\540px-Arctostaphylos_manzanita.jpg
"The Beaked Hazel (Corylus rostrata, var. California)",,,"""The beaked hazel (Corylus rostrata, var. California) is common on cool slopes up toward the summit of the Pilot Peak Ridge. There is something peculiarly attractive in the hazel, like the oaks and heaths of the cool countries of our forefathers, and through them our love for these plants has, I suppose, been transmitted. This species is four or five feet high, leaves soft and hairy, grateful to the touch, and the delicious nuts are eagerly gathered by Indians and squirrels. The sky as usual adorned with white noon clouds""","June 27, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 16",Public Domain,https://commons.wikimedia.org/wiki/File:Corylus_cornuta.jpg,\Nature\512px-BeakedHaze_Corylus_cornuta
Sugar Pine (Pinus lambertiana),,,"""Sugar pine cones are cylindrical, slightly tapered at the end and rounded at the base. Found one to-day nearly twenty-four inches long and six in diameter, the scales being open. Another specimen nineteen inches long; the average length of full-grown cones on trees favorably situated is nearly eighteen inches. On the lower edge of the belt at a height of about twenty-five hundred feet above the sea they are smaller, say a foot to fifteen inches long, and at a height of seven thousand feet or more near the upper limits of its growth in the Yosemite region they are about the same size.""","June 15, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 13",Public Domain,https://commons.wikimedia.org/wiki/File:Pinus_lambertiana_ProspectOR.jpg,\Nature\512px-SugarPine_Pinus_lambertiana_Oregon.jpg
Twining Lily (Dichelostemma volubile),,,"""I have oftentimes found the curious twining lily (Stopholirion californicum) climbing its branches, showing no fear but rather congenial companionship. Sheep eat it without apparent ill effects; so do horses to some extent, though not fond of it, and to many persons it is harmless"" (Muir, 26)","June 7, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 7",by Calibas - CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Dichelostemma_volubile.jpg,\Nature\TwiningLily_Dichelostemma_volubile.jpg
Common Bracken Fern (Pteridium aquilinum),,,"""Most of the ferns are in their prime, —rock ferns on the sunny hillsides, cheilanthes,pellaea, gymnogramme; woodwardia, aspidium, woodsia along the stream banks, and the common Pteris aquilina on sandy flats. Thislast, however common, is here making shows of strong, exuberant, abounding beauty to set the botanist wild with admiration. I measuredsome scarce full grown that are more than seven feet high. ""","June 13, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 11",by Rasbak - CC BY-SA 3.0 Unported,https://commons.wikimedia.org/wiki/File:Adelaarsvaren_planten_Pteridium_aquilinum.jpg,\Nature\512px-CommonBrakenFern_Pteridium_aquilinum.jpg
Bush Poppy (Dendromecon rigidum),,,"""A marked plant is the bush poppy (Dendromecon rigidum), found on the hot hillsides near camp, the only woody member of the order I have yet met in all my walks. Its flowers are bright orange yellow, an inch to two inches wide, fruit-pods three or four inches long, slender and curving, —height of bushes about four feet, made up of many slim, straight branches, radiating from the root, —a companion of the manzanita and other sun-loving chaparral shrubs"" ","June 12, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 11",Public Domain,https://commons.wikimedia.org/wiki/File:Dendromecon_rigida_(NPS).jpg,\Nature\512px-BushPoppy_Dendromecon_rigida.jpg
Mountain/Canyon Live Oak (Quercus chrysolepis) ,,,"""The mountain live oak, common here and a thousand feet or so higher, is like the live oak of Florida, not only in general appearance, foliage, bark, and wide-branching habit, but in its tough, knotty, unwedgebale wood. Standing alone with plenty of elbow room, the largest trees are about seven to eight feet in diameter near the ground, sixty feet high, and as wide or wider across the head. The leaves are small and undivided, mostly without teeth or wavy edging, though on young shoots some are sharply serrated, both kinds being found on the same tree. The cups of the medium-sized acorns are shallow, thick walled, and covered with a golden dust of minute hairs. Some of the trees have hardly any main trunk, dividing near the ground into large wide-spreading limbs, and these, dividing again and again, terminate in long, drooping, cord-like branchlets, many of which reach nearly to the ground, while a dense canopy of short, shining , leafy branchlets form a round head which looks something like a cumulus cloud when the sunshine is pouring over it "" (Muir, 38-39).","June 10, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 10",by Doug Beckers - CC BY-SA 2.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Quercus_prinoides_leaves.jpg/330px-Quercus_prinoides_leaves.jpg,\Nature\640px-Quercus_chrysolepis_acorns.jpg
Indian Rhubarb/ Umbrella Plant/ Saxifrage/ Rockfoil (Darmera peltata) ,,,"""…the giant saxifrage also is growing on some of the knob rock islets, firmly anchored and displaying their broad, round, umbrella-like leaves in showy groups by themselves, or aboe the sedge tufts"" (Muir, 35).","June 9, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 9",by Wouter Hagens - Public Domain,https://commons.wikimedia.org/w/index.php?curid=2536089,\Nature\Darmera_peltata_B.jpg
Leopard Lily/ Panther Lily Lilium pardalinum ,,,"""I don't remember having seen a single lily swinging on it's stalk, though they are so tall the least breeze would rock them. What grand bells these lilies have! Some of them big enough for children's bonnets. I have been sketching them, and would fain draw every leaf of their wide shining whorls and every curved and spotted petal. More beautiful, better kept gardens cannot be imagined. The species is Lilium pardalinum, five to six feet high, leaf-whorls a foot wide, flowers about six inches wide, bright orange, purple spotted in the throat, segments revolute--a majestic plant"" (Muir, 37).","June 10, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 10",by larry&flo and Ixitixel - CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Lilium_pardalinum.jpg,\Nature\484px-Lilium_pardalinum.jpg
Mountain Misery/Bear Clover (Chamaebatia foliolosa),,,"""A handsome little shrub, Chamaebatia foliolosa, belonging to the rose family, spreads a yellow-green, mantle beneath the sugar pines for miles without break, not mixed or roughened with other plants. Only here and there a Washington lily may be seen nodding above its even surface, or a bunch or two of tall bromusas if for ornament"" (Muir, 33)","June 8, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 8",by Stan Shebs - CC BY-SA 3.0,https://en.wikipedia.org/wiki/Chamaebatia_foliolosa#/media/File:Chamaebatia_foliolosa_2.jpg,\Nature\577px-Chamaebatia_foliolosa_2.jpg
Poison Oak (Toxicodendron diversilobum),,,"""It is somewhat troublesome to most travelers, inflaming the skin and eyes, but blends harmoniously with its companion plants, and many a charming flower leans confidingly upon it for protection and shade"" (Muir,26)","June 7, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 7",by Elf  - CC BY-SA 3.0,https://en.wikipedia.org/wiki/Toxicodendron_diversilobum#/media/File:PoisonOak_wb_biggerLeaves.jpg,\Nature\540px-PoisonOak_wb_biggerLeaves.jpg
Incense cedar (Calocedrus decurrens),,,"Muir: ""I feel strangely attracted to this tree. The brown close-grained wood, as well as the small scale-like leaves, is fragrant, and the flat over-lapping plumes makes fine beds, and must shed the rain well. It would be delightful to be storm-bound beneath one of these noble, hospitable, inviting old trees, its broad sheltering arms bent down like a tent, icense rising from the fire made from its dry fallrn branches, and a hearty wind chanting overhead"" ","June 7, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 7",by Victor R. Ruiz - CC BY-SA 2.0,https://en.wikipedia.org/wiki/Calocedrus_decurrens#/media/File:Calocedrus_decurrens_Yosemite_NP.jpg,\Nature\Calocedrus_decurrens_Yosemite_NP.jpg
Western Azalea (Azalea occidentalis)  ,,,"Observed,""A few miles above Greeley's Mill, where [Muir was] camped out for the night""","June 7, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 7",by Walter Siegmund - CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Rhododendron_occidentale_4730.JPG,\Nature\640px-Rhododendron_occidentale_4730.JPG
Chamise/ greasewood (Adenostoma fasciculatum),,,"""I Have been examining the curious and influential shrub Adenostoma fasciculata, first noticed about Horseshoe bend. It is very abundant on the lower slopes of the second plateau near Coulterville, forming a dense, almost inpenetrable growth that looks dark in the distance""","June 6, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 6",by Stan Shebs - CC BY-SA 2.5 Generic,https://commons.wikimedia.org/wiki/File:Adenostoma_fasciculatum_2.jpg,\Nature\Adenostoma_fasciculatum_2.jpg
Fairy's Lantern (Calochortus albus) and Maidenhair fern (Adiantum),,," ""Found a lovely lily (Calochortus albus) in a shady adenostoma thicket near Coulterville, in company with Adiantum Chilense. It is white with a faint purplish tinge inside at the base of the pedals, a most impressive plant, pure as a snow crystal, one of the plant saintd that all must love and be made so much the purer by it every time it is seen. It puts the roughest mountaineer on his good behavior. With this plant the whole world would seem rich though none other existed. It is not easy to keep on with the camp cloud while such plant people are standing preaching by the wayside."" ","June 6, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 6",by Elf - CC BY-SA 4.0,https://en.wikipedia.org/wiki/Calochortus_albus#/media/File:Calochortus_albus_flowers.jpg,\Nature\640px-Calochortus_albus_flowers.jpg
California Black Oak (Quercus Californicus),,,"""Here is about the upper limit of the dwarf form of the goldcup oak, —eight thousand feet above sea-level, —reaching about two thousand feet higher than the California black oak (Quercus Californicus). Lovely evening, the lake reflections after dark marvelously impressive.""","September 11, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 55",by Miguel Vieira - CC BY 2.0,https://en.wikipedia.org/wiki/Quercus_kelloggii#/media/File:Quercus_kelloggii_Las_Trampas.jpg,\Nature\Quercus_kelloggii_Las_Trampas.jpg
Mariposa Tulip/Lily (Calochortus),,,Observed at the Second Bench,"June 6, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 6",CC BY 2.0,https://commons.wikimedia.org/wiki/File:Plain_Mariposa_Tulip_(984350148).jpg,\Nature\Plain_Mariposa_Tulip_(984350148).jpg
Sabine Pine (Pinus Sabiniana),,,Observed as a strange looking part of he foothill vegetation ,"June 4, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 4",CC BY-SA 3.0,https://commons.wikimedia.org/wiki/Pinus_sabiniana#/media/File:Pinus_sabiniana.jpg,\Nature\481px-Pinus_sabiniana.jpg
Blue Oak (Quercus Douglasii),,,Observed as a common tree of the foothills by Muir,"June 3, 1869","Muir, John. 1911. My First Summer in the Sierra; with Illustrations from Drawings Made by the Author in 1869 and from Photographs by Herbert W. Gleason. Cambridge: The Riverside Press,  Page 4",CC BY-SA 3.0,https://en.wikipedia.org/wiki/Quercus_douglasii#/media/File:Large_Blue_Oak.jpg,\Nature\538px-Blue_Oak_QuercusDouglasii.jpg
,,,,,,,,
